;Name;Description;Followers
9412;SlackTime;360° insights into the digital world;4
9413;The Black C.A.P.E Mag;The Black Cinema Anorak’s Pop Entertainment Magazine;4
9414;The Old Coder;Ruminations on tech from a dinosaur.;4
9415;DAIN Studios;Data Science, Artificial Intelligence and Advanced Analytics for Business.;4
9416;JOUR4090;Multiplatform Storytelling from the University of Georgia’s Grady College. Taught by André Gallant. Find us on Twitter: #jour4090 and on Instagram: @jour4090;4
9417;ProjectPWG;Podcast, Writing and Graphics are the three terms of our content where we do publish daily article about a topic which is random and also an audio. It can be funny, humane or realistic. We hope to feed you some information and thoughts through this.;4
9418;Novel(ist) in Progress;First person account documenting my experiences as a first time novelist and the lessons I learn along the way, from first idea to published work. I also invite all first-time novelists to submit their stories. What have you done so far? What have you learned?;4
9419;Ever Hungry;A collection of food stories and recipes;4
9420;ofounders;OLYMPIAN MINDSET FOR STRONGER FOUNDERS;4
9421;JUNG SKYWALKER;Studying the Symbolism of Star Wars;4
9422;Avoiderdragon;Exploring experience through digital adventure.;4
9423;The 2.8% : a collective voice of women founders raising venture capital #the2point8;By bringing our stories out from private forums and into the public sphere, we highlight the hidden inequities women and other underrepresented founders face when raising and using venture capital. #the2point8 email the2point8@gmail.com Twitter @the2point8;4
9424;Fiction Foundry;Science fiction and fantasy stories of adventures in other worlds.;4
9425;Perspective;A new publication based on providing accessible news and political pieces from the next generation of writers and thinkers.;4
9426;Exceeding Expectations;A publication on my entrepreneur journey;4
9427;nieuwsgierigheid;curiosity transcends cultures;4
9428;Yandex.Money;Your money smart;4
9429;Wrestling Deep End;A publication all about taking longer form looks at the world of professional wrestling. We’re not interested in simple recaps and results. We want to study the impact of the squared circle on the talent, the fans and the world at large.;4
9430;The Glass Box;Observations and reviews for all types of TV and film. Always looking for new writers.;4
9431;Create + Prosper;How to make money at your art, for creative writers, makers, artists, designers, and entrepreneurs.;4
9432;Linux Gossip;Newsworthy notes about the Linux ecosystem and the culture surrounding the ’91 open source kernel by Linus Torvalds;4
9433;Essence of Learning;Learning never stops;4
9434;Kakebo;Save and Spend Mindfully;4
9435;Insights @ Monash University IP Observatory;The IP Observatory by @therealSodaLabs at Monash University (Australia) observes, in near real time, the quality of the internet at any location on the globe. Here we share timely insights and context, with visual flair, for social good.;4
9436;The Geist by D I Hughes;An exploration of words, wellbeing, learning, and this planet we inhabit. Get inolved.;4
9437;The Regulator;Regulators on the world of crypto regulation;4
9438;Metaphorically Speaking;Metaphor is the language of the unconscious mind. This is a collection of stories that speak to a deeper level. Fiction or non-fiction, its storytelling that leaves an impact.;4
9439;My Writer’s Life;Living Life on Your Own Terms is Weird;4
9440;TravelSpirit Foundation;Championing an Open, Equitable and Sustainable Mobility Marketplace;4
9441;The Float;The Float is home to a variety of essays and observations about writing, life, comedy, parenting and socializing.;4
9442;Lathe Software Foundation;Blog for the Lathe Software Foundation — Easy Machine-Learning for Julia;4
9443;A Rough Cut;Not Trying to be a Meme;4
9444;The Lark;The Lark shares fictional short stories and poetry;4
9445;Blackboard Design;Perspectives from Blackboard's design team;4
9446;Davi;A collection of viewpoints, ideas, jokes and all the other things that help me make sense of the world. Far from a professional writer, but a thinker and tinkerer of sorts. I try to keep my writing concise, but sometimes to no avail. Thanks for reading.;4
9447;The Abundance Mentality;It’s time to start thriving.;4
9448;Analytics Steps;Analytics Steps, the epic platform is providing analytical rich content and focuses on solitary growth exclusively with the vision to empower users full of information about Analytics. Visit www.analyticssteps.com;4
9449;Inside Arizona Politics;Giving you the insider scoop on Arizona politics;4
9450;RBLT;Rationalist Buddhist Long-Termist Thinking — Occasional reflections on Consciousness, Longtermism, Meditation, AI  and Rationality;4
9451;Above Us, Only Sky;A Blog on Art, History and Politics;4
9452;fromScratch Studio;We are a data-driven Product Design agency that loves building great ideas into beautiful user experiences and awesome products.;4
9453;Vietnamese culture through the prism of a local;I'm always fascinated to show my beloved readers a Vietnam beyond stereotypical narratives - something that easily goes unnoticed by non-residents if you are trapped behind the lens - a Vietnam through the prism of a local.;4
9454;Psych;Human stories of experience, health and lifestyle;4
9455;On Our Best Behaviour;Exploring the science of behaviour change for environmental sustainability.;4
9456;In.tech;A bimonthly on Tech. Society. Culture. Curated for India.;4
9457;Auedbaki | Hackers Choice;Exploit the information world with extreme knowledge of hacking and programming.;4
9458;Medusa’s Musings;If I’m staring I’m probably turning you into paper and ink or this medium thing. Lists and stories and random stuff…;4
9459;Genuinely Engage;Genuinely Engage is a Lexer publication. We’re on a mission to help retailers drive profitable growth by delivering their customers the experiences they deserve.;4
9460;LEAN BKRY;INNOVATE. SLEEP. REPEAT.;4
9461;Skinny is Best;Sharing weight loss and diet life experiences for a happy and healthier life especially if you are Diabetic.;4
9462;Future Farmer;The official blog of the Future Farming Hub. https://www.liberty-produce.com/future-farming-hub;4
9463;AI Explorations;Exploring ideas at the intersection of data, artificial intelligence, business and technology.;4
9464;Here|After;We all have defining moments in our lives, some big, some more mundane — all with the potential to help us understand how we are all connected. Origin stories aren’t just for superheroes. Come share some of the moments that have helped make you, you.;4
9465;Men Are from Kepler-438b, Women Are from Kepler-442b;Updates, findings and other things from my thesis, Conversational Symbiosis Amongst Humans and AI in the Context of Plateaus in Romantic Relationships;4
9466;Coralogix Engineering;A look into engineering at Coralogix;4
9467;simpliCITY;"Studying secondary cities in emerging countries; finding simple solutions to their complex problems. By OHCO.";4
9468;PRISM;poetry and prose to gather the light and heal from trauma;4
9469;Apache NiFi Security;Apache NiFi is an easy to use, powerful, and reliable system to process and distribute data. This blog will focus on security concerns, new feature development, and ongoing research into information security as it relates to Apache NiFi and the dataflow ecosystem.;4
9470;code.store;code.store a revolutionary platform for GraphQL micro-services;4
9471;FlintDDA;City of Flint Downtown Development Authority;4
9472;Vibranium Blog;My thoughts on various industries and companies;4
9473;The Investment Project;Investment principles, information & strategies from beginning to dividend;4
9474;Luna Labs Ltd;The Creative Platform for Game Studios. Playable ads and Videos directly from your game in Unity. Created by you. Powered by Luna.;4
9475;Symbl Engineering and Data Science;Symbl Engineering and Data Science Learning and Stories;4
9476;Marc Ambinder;Personal Repository Of Knowledge, Wisdom and Fun;4
